code;name;asciiname;geonameid
NL.11.0642;Gemeente Zwijndrecht;Gemeente Zwijndrecht;2743492
NL.03.0301;Gemeente Zutphen;Gemeente Zutphen;2743607
NL.06.0879;Gemeente Zundert;GemeentNL.e Zundert;2743618
NL.11.0638;Gemeente Zoeterwoude;Gemeente Zoeterwoude;2743852
NL.11.0637;Gemeente Zoetermeer;Gemeente Zoetermeer;2743855
NL.03.0299;Gemeente Zevenaar;Gemeente Zevenaar;2743948
NL.09.0355;Gemeente Zeist;Gemeente Zeist;2743976
NL.16.0050;Gemeente Zeewolde;Gemeente Zeewolde;2743996
NL.07.0473;Gemeente Zandvoort;Gemeente Zandvoort;2744040
NL.03.0297;Gemeente Zaltbommel;Gemeente Zaltbommel;2744101
NL.07.0479;Gemeente Zaanstad;Gemeente Zaanstad;2744113
NL.09.0351;Gemeente Woudenberg;Gemeente Woudenberg;2744162
NL.09.0632;Gemeente Woerden;Gemeente Woerden;2744247
NL.06.0873;Gemeente Woensdrecht;Gemeente Woensdrecht;2744256
NL.03.0294;Gemeente Winterswijk;Gemeente Winterswijk;2744331
NL.09.0352;Gemeente Wijk bij Duurstede;Gemeente Wijk bij Duurstede;2744482
NL.03.0296;Gemeente Wijchen;Gemeente Wijchen;2744513
NL.15.0189;Gemeente Wierden;Gemeente Wierden;2744548
NL.11.0614;Gemeente Westvoorne;Gemeente Westvoorne;2744605
NL.02.0098;Gemeente Weststellingwerf;Gemeente Weststellingwerf;2744609
NL.03.0293;Gemeente Westervoort;Gemeente Westervoort;2744674
NL.04.1969;Westerkwartier;Westerkwartier;2744721
NL.07.0457;Gemeente Weesp;Gemeente Weesp;2744903
NL.05.0988;Gemeente Weert;Gemeente Weert;2744910
NL.11.0629;Gemeente Wassenaar;Gemeente Wassenaar;2744989
NL.03.0289;Gemeente Wageningen;Gemeente Wageningen;2745087
NL.11.0627;Gemeente Waddinxveen;Gemeente Waddinxveen;2745095
NL.06.0867;Gemeente Waalwijk;Gemeente Waalwijk;2745122
NL.06.0866;Gemeente Waalre;Gemeente Waalre;2745126
NL.06.0865;Gemeente Vught;Gemeente Vught;2745153
NL.03.0285;Gemeente Voorst;Gemeente Voorst;2745295
NL.11.0626;Gemeente Voorschoten;Gemeente Voorschoten;2745300
NL.05.0986;Gemeente Voerendaal;Gemeente Voerendaal;2745368
NL.10.0718;Gemeente Vlissingen;Gemeente Vlissingen;2745391
NL.02.0096;Gemeente Vlieland;Gemeente Vlieland;2745417
NL.11.0622;Gemeente Vlaardingen;Gemeente Vlaardingen;2745466
NL.09.1961;Vijfheerenlanden;Vijfheerenlanden;2745538
NL.05.0984;Gemeente Venray;Gemeente Venray;2745633
NL.05.0983;Gemeente Venlo;Gemeente Venlo;2745640
NL.07.0453;Gemeente Velsen;Gemeente Velsen;2745675
NL.06.0861;Gemeente Veldhoven;Gemeente Veldhoven;2745704
NL.10.0717;Gemeente Veere;Gemeente Veere;2745738
NL.09.0345;Gemeente Veenendaal;Gemeente Veenendaal;2745773
NL.04.0047;Gemeente Veendam;Gemeente Veendam;2745782
NL.06.0858;Gemeente Valkenswaard;Gemeente Valkenswaard;2745859
NL.05.0981;Gemeente Vaals;Gemeente Vaals;2745904
NL.09.0344;Gemeente Utrecht;Gemeente Utrecht;2745911
NL.16.0184;Gemeente Urk;Gemeente Urk;2745931
NL.07.0451;Gemeente Uithoorn;Gemeente Uithoorn;2745972
NL.07.0450;Gemeente Uitgeest;Gemeente Uitgeest;2745977
NL.15.0183;Gemeente Tubbergen;Gemeente Tubbergen;2746132
NL.06.0855;Gemeente Tilburg;Gemeente Tilburg;2746300
NL.03.0281;Gemeente Tiel;Gemeente Tiel;2746330
NL.10.0716;Gemeente Tholen;Gemeente Tholen;2746350
NL.07.0448;Gemeente Texel;Gemeente Texel;2746383
NL.02.0093;Gemeente Terschelling;Gemeente Terschelling;2746412
NL.10.0715;Gemeente Terneuzen;Gemeente Terneuzen;2746421
NL.05.0971;Gemeente Stein;Gemeente Stein;2746746
NL.06.0851;Gemeente Steenbergen;Gemeente Steenbergen;2746801
NL.15.0180;Gemeente Staphorst;Gemeente Staphorst;2746837
NL.04.0037;Gemeente Stadskanaal;Gemeente Stadskanaal;2746859
NL.06.0848;Gemeente Son en Breugel;Gemeente Son en Breugel;2747009
NL.06.0847;Gemeente Someren;Gemeente Someren;2747020
NL.09.0342;Gemeente Soest;Gemeente Soest;2747033
NL.02.0090;Gemeente Smallingerland;Gemeente Smallingerland;2747091
NL.10.1714;Gemeente Sluis;Gemeente Sluis;2747114
NL.11.0610;Gemeente Sliedrecht;Gemeente Sliedrecht;2747168
NL.06.0845;Gemeente Sint-Michielsgestel;Gemeente Sint-Michielsgestel;2747233
NL.05.0965;Gemeente Simpelveld;Gemeente Simpelveld;2747311
NL.06.0796;Gemeente 's-Hertogenbosch;Gemeente 's-Hertogenbosch;2747350
NL.11.0518;Gemeente Den Haag;Gemeente Den Haag;2747372
NL.02.0088;Gemeente Schiermonnikoog;Gemeente Schiermonnikoog;2747589
NL.11.0606;Gemeente Schiedam;Gemeente Schiedam;2747595
NL.03.0279;Gemeente Scherpenzeel;Gemeente Scherpenzeel;2747605
NL.07.0441;Gemeente Schagen;Gemeente Schagen;2747719
NL.06.0840;Gemeente Rucphen;Gemeente Rucphen;2747857
NL.03.0277;Gemeente Rozendaal;Gemeente Rozendaal;2747863
NL.11.0599;Rotterdam;Rotterdam;2747890
NL.06.1674;Roosendaal;Roosendaal;2747929
NL.05.0957;Gemeente Roermond;Gemeente Roermond;2747999
NL.11.0603;Gemeente Rijswijk;Gemeente Rijswijk;2748075
NL.11.0597;Gemeente Ridderkerk;Gemeente Ridderkerk;2748171
NL.09.0340;Gemeente Rhenen;Gemeente Rhenen;2748184
NL.03.0275;Gemeente Rheden;Gemeente Rheden;2748200
NL.09.0339;Gemeente Renswoude;Gemeente Renswoude;2748227
NL.03.0274;Gemeente Renkum;Gemeente Renkum;2748235
NL.10.0703;Gemeente Reimerswaal;Gemeente Reimerswaal;2748254
NL.15.0177;Gemeente Raalte;Gemeente Raalte;2748370
NL.03.0273;Gemeente Putten;Gemeente Putten;2748391
NL.07.0439;Gemeente Purmerend;Gemeente Purmerend;2748412
NL.11.0590;Gemeente Papendrecht;Gemeente Papendrecht;2748728
NL.09.0589;Gemeente Oudewater;Gemeente Oudewater;2748978
NL.07.0437;Gemeente Ouder-Amstel;Gemeente Ouder-Amstel;2749027
NL.06.0828;Gemeente Oss;Gemeente Oss;2749233
NL.02.0086;Gemeente Opsterland;Gemeente Opsterland;2749277
NL.07.0432;Gemeente Opmeer;Gemeente Opmeer;2749285
NL.07.0431;Gemeente Oostzaan;Gemeente Oostzaan;2749319
NL.02.0085;Gemeente Ooststellingwerf;Gemeente Ooststellingwerf;2749339
NL.06.0826;Gemeente Oosterhout;Gemeente Oosterhout;2749447
NL.15.0175;Gemeente Ommen;Gemeente Ommen;2749611
NL.15.0173;Gemeente Oldenzaal;Gemeente Oldenzaal;2749643
NL.03.0269;Gemeente Oldebroek;Gemeente Oldebroek;2749667
NL.06.0824;Gemeente Oisterwijk;Gemeente Oisterwijk;2749679
NL.06.0823;Gemeente Oirschot;Gemeente Oirschot;2749682
NL.11.0579;Gemeente Oegstgeest;Gemeente Oegstgeest;2749722
NL.03.0302;Gemeente Nunspeet;Gemeente Nunspeet;2749754
NL.06.0820;Gemeente Nuenen;Gerwen en Nederwetten;Gemeente Nuenen;Gerwen en Nederwetten;2749779
NL.11.0575;Gemeente Noordwijk;Gemeente Noordwijk;2749814
NL.16.0171;Gemeente Noordoostpolder;Gemeente Noordoostpolder;2749851
NL.03.0268;Gemeente Nijmegen;Gemeente Nijmegen;2750052
NL.03.0267;Gemeente Nijkerk;Gemeente Nijkerk;2750064
NL.11.0569;Gemeente Nieuwkoop;Gemeente Nieuwkoop;2750186
NL.09.0356;Gemeente Nieuwegein;Gemeente Nieuwegein;2750324
NL.05.0946;Gemeente Nederweert;Gemeente Nederweert;2750466
NL.05.0944;Gemeente Mook en Middelaar;Gemeente Mook en Middelaar;2750620
NL.09.0335;Gemeente Montfoort;Gemeente Montfoort;2750625
NL.10.0687;Gemeente Middelburg;Gemeente Middelburg;2750894
NL.01.0119;Gemeente Meppel;Gemeente Meppel;2750946
NL.05.0938;Gemeente Meerssen;Gemeente Meerssen;2751036
NL.07.0420;Gemeente Medemblik;Gemeente Medemblik;2751072
NL.06.1719;Gemeente Drimmelen;Gemeente Drimmelen;2751271
NL.05.0935;Gemeente Maastricht;Gemeente Maastricht;2751282
NL.11.0556;Gemeente Maassluis;Gemeente Maassluis;2751284
NL.03.0263;Gemeente Maasdriel;Gemeente Maasdriel;2751295
NL.15.0168;Gemeente Losser;Gemeente Losser;2751423
NL.09.0331;Gemeente Lopik;Gemeente Lopik;2751435
NL.06.0809;Gemeente Loon op Zand;Gemeente Loon op Zand;2751455
NL.03.0262;Gemeente Lochem;Gemeente Lochem;2751536
NL.11.0553;Gemeente Lisse;Gemeente Lisse;2751546
NL.09.0327;Gemeente Leusden;Gemeente Leusden;2751688
NL.16.0995;Gemeente Lelystad;Gemeente Lelystad;2751737
NL.11.0547;Gemeente Leiderdorp;Gemeente Leiderdorp;2751770
NL.11.0546;Gemeente Leiden;Gemeente Leiden;2751772
NL.02.0080;Gemeente Leeuwarden;Gemeente Leeuwarden;2751791
NL.07.0417;Gemeente Laren;Gemeente Laren;2751873
NL.07.0415;Gemeente Landsmeer;Gemeente Landsmeer;2751979
NL.11.0542;Gemeente Krimpen aan den IJssel;Gemeente Krimpen aan den IJssel;2752263
NL.05.0928;Gemeente Kerkrade;Gemeente Kerkrade;2752922
NL.11.0537;Gemeente Katwijk;Gemeente Katwijk;2753012
NL.10.0678;Gemeente Kapelle;Gemeente Kapelle;2753069
NL.15.0166;Gemeente Kampen;Gemeente Kampen;2753104
NL.09.0353;Gemeente IJsselstein;Gemeente IJsselstein;2753354
NL.10.0677;Gemeente Hulst;Gemeente Hulst;2753437
NL.07.0406;Gemeente Huizen;Gemeente Huizen;2753467
NL.09.0321;Gemeente Houten;Gemeente Houten;2753556
NL.07.0405;Gemeente Hoorn;Gemeente Hoorn;2753635
NL.01.0118;Gemeente Hoogeveen;Gemeente Hoogeveen;2753718
NL.11.1963;Hoeksche Waard;Hoeksche Waard;2754014
NL.07.0402;Gemeente Hilversum;Gemeente Hilversum;2754063
NL.06.0798;Gemeente Hilvarenbeek;Gemeente Hilvarenbeek;2754065
NL.11.0534;Gemeente Hillegom;Gemeente Hillegom;2754072
NL.06.0797;Gemeente Heusden;Gemeente Heusden;2754134
NL.03.0252;Gemeente Heumen;Gemeente Heumen;2754146
NL.15.0164;Gemeente Hengelo;Gemeente Hengelo;2754392
NL.11.0531;Gemeente Hendrik-Ido-Ambacht;Gemeente Hendrik-Ido-Ambacht;2754407
NL.06.0794;Gemeente Helmond;Gemeente Helmond;2754446
NL.11.0530;Gemeente Hellevoetsluis;Gemeente Hellevoetsluis;2754453
NL.15.0163;Gemeente Hellendoorn;Gemeente Hellendoorn;2754456
NL.07.0399;Gemeente Heiloo;Gemeente Heiloo;2754515
NL.05.0917;Gemeente Heerlen;Gemeente Heerlen;2754651
NL.02.0074;Gemeente Heerenveen;Gemeente Heerenveen;2754668
NL.03.0246;Gemeente Heerde;Gemeente Heerde;2754680
NL.07.0397;Gemeente Heemstede;Gemeente Heemstede;2754691
NL.07.0396;Gemeente Heemskerk;Gemeente Heemskerk;2754696
NL.03.0244;Gemeente Hattem;Gemeente Hattem;2754767
NL.02.0072;Gemeente Harlingen;Gemeente Harlingen;2754816
NL.11.0523;Gemeente Hardinxveld-Giessendam;Gemeente Hardinxveld-Giessendam;2754843
NL.03.0243;Gemeente Harderwijk;Gemeente Harderwijk;2754846
NL.15.0160;Gemeente Hardenberg;Gemeente Hardenberg;2754858
NL.07.0394;Gemeente Haarlemmermeer;Gemeente Haarlemmermeer;2754999
NL.07.0392;Gemeente Haarlem;Gemeente Haarlem;2755002
NL.15.0158;Gemeente Haaksbergen;Gemeente Haaksbergen;2755031
NL.04.0014;Gemeente Groningen;Gemeente Groningen;2755250
NL.03.1945;Gemeente Berg en Dal;Gemeente Berg en Dal;2755270
NL.11.0513;Gemeente Gouda;Gemeente Gouda;2755419
NL.11.0512;Gemeente Gorinchem;Gemeente Gorinchem;2755433
NL.06.0785;Gemeente Goirle;Gemeente Goirle;2755463
NL.10.0664;Gemeente Goes;Gemeente Goes;2755475
NL.06.0784;Gemeente Gilze en Rijen;Gemeente Gilze en Rijen;2755506
NL.05.0907;Gemeente Gennep;Gemeente Gennep;2755583
NL.06.0779;Gemeente Geertruidenberg;Gemeente Geertruidenberg;2755668
NL.06.0777;Gemeente Etten-Leur;Gemeente Etten-Leur;2755994
NL.03.0233;Gemeente Ermelo;Gemeente Ermelo;2756038
NL.03.0232;Gemeente Epe;Gemeente Epe;2756058
NL.15.0153;Gemeente Enschede;Gemeente Enschede;2756070
NL.07.0388;Gemeente Enkhuizen;Gemeente Enkhuizen;2756076
NL.01.0114;Gemeente Emmen;Gemeente Emmen;2756134
NL.03.0230;Gemeente Elburg;Gemeente Elburg;2756231
NL.06.0772;Gemeente Eindhoven;Gemeente Eindhoven;2756252
NL.06.0770;Gemeente Eersel;Gemeente Eersel;2756341
NL.09.0317;Gemeente Eemnes;Gemeente Eemnes;2756393
NL.03.0228;Gemeente Ede;Gemeente Ede;2756428
NL.07.0385;Gemeente Edam-Volendam;Gemeente Edam-Volendam;2756430
NL.05.1711;Gemeente Echt-Susteren;Gemeente Echt-Susteren;2756443
NL.03.0226;Gemeente Duiven;Gemeente Duiven;2756506
NL.03.0225;Gemeente Druten;Gemeente Druten;2756538
NL.16.0303;Gemeente Dronten;Gemeente Dronten;2756558
NL.11.0505;Gemeente Dordrecht;Gemeente Dordrecht;2756668
NL.09.1581;Gemeente Utrechtse Heuvelrug;Gemeente Utrechtse Heuvelrug;2756685
NL.06.0766;Gemeente Dongen;Gemeente Dongen;2756722
NL.03.0222;Gemeente Doetinchem;Gemeente Doetinchem;2756766
NL.03.0221;Gemeente Doesburg;Gemeente Doesburg;2756770
NL.07.0384;Gemeente Diemen;Gemeente Diemen;2756887
NL.15.0150;Gemeente Deventer;Gemeente Deventer;2756986
NL.06.0762;Gemeente Deurne;Gemeente Deurne;2757008
NL.07.0400;Gemeente Den Helder;Gemeente Den Helder;2757219
NL.11.0503;Gemeente Delft;Gemeente Delft;2757344
NL.09.0310;Gemeente De Bilt;Gemeente De Bilt;2757782
NL.02.1891;Gemeente Dantumadiel;Gemeente Dantumadiel;2757834
NL.15.0148;Gemeente Dalfsen;Gemeente Dalfsen;2757849
NL.03.0216;Gemeente Culemborg;Gemeente Culemborg;2757871
NL.01.0109;Gemeente Coevorden;Gemeente Coevorden;2757936
NL.07.0383;Gemeente Castricum;Gemeente Castricum;2757990
NL.11.0502;Gemeente Capelle aan den IJssel;Gemeente Capelle aan den IJssel;2758011
NL.03.0214;Gemeente Buren;Gemeente Buren;2758095
NL.09.0313;Gemeente Bunschoten;Gemeente Bunschoten;2758103
NL.09.0312;Gemeente Bunnik;Gemeente Bunnik;2758105
NL.05.0899;Gemeente Brunssum;Gemeente Brunssum;2758173
NL.03.0213;Gemeente Brummen;Gemeente Brummen;2758176
NL.07.0852;Gemeente Waterland;Gemeente Waterland;2758257
NL.11.0501;Gemeente Brielle;Gemeente Brielle;2758325
NL.06.0758;Gemeente Breda;Gemeente Breda;2758400
NL.06.0757;Gemeente Boxtel;Gemeente Boxtel;2758459
NL.10.0654;Gemeente Borsele;Gemeente Borsele;2758588
NL.15.0147;Gemeente Borne;Gemeente Borne;2758597
NL.01.1681;Gemeente Borger-Odoorn;Gemeente Borger-Odoorn;2758619
NL.06.0755;Gemeente Boekel;Gemeente Boekel;2758757
NL.07.0377;Gemeente Bloemendaal;Gemeente Bloemendaal;2758802
NL.07.0376;Gemeente Blaricum;Gemeente Blaricum;2758867
NL.06.1728;Gemeente Bladel;Gemeente Bladel;2758877
NL.07.0375;Gemeente Beverwijk;Gemeente Beverwijk;2758997
NL.03.0209;Gemeente Beuningen;Gemeente Beuningen;2759014
NL.06.0753;Gemeente Best;Gemeente Best;2759039
NL.06.1724;Bergeijk;Bergeijk;2759131
NL.06.0748;Gemeente Bergen op Zoom;Gemeente Bergen op Zoom;2759144
NL.07.0373;Gemeente Bergen;Gemeente Bergen;2759151
NL.05.0893;Gemeente Bergen;Gemeente Bergen;2759152
NL.05.0889;Gemeente Beesel;Gemeente Beesel;2759285
NL.05.0888;Gemeente Beek;Gemeente Beek;2759343
NL.03.0203;Gemeente Barneveld;Gemeente Barneveld;2759406
NL.11.0489;Gemeente Barendrecht;Gemeente Barendrecht;2759425
NL.09.0308;Gemeente Baarn;Gemeente Baarn;2759543
NL.06.0744;Gemeente Baarle-Nassau;Gemeente Baarle-Nassau;2759553
NL.06.0743;Gemeente Asten;Gemeente Asten;2759619
NL.01.0106;Gemeente Assen;Gemeente Assen;2759632
NL.03.0202;Gemeente Arnhem;Gemeente Arnhem;2759660
NL.03.0200;Gemeente Apeldoorn;Gemeente Apeldoorn;2759705
NL.07.0363;Gemeente Amsterdam;Gemeente Amsterdam;2759793
NL.07.0362;Gemeente Amstelveen;Gemeente Amstelveen;2759797
NL.09.0307;Gemeente Amersfoort;Gemeente Amersfoort;2759820
NL.02.0060;Gemeente Ameland;Gemeente Ameland;2759844
NL.11.0484;Gemeente Alphen aan den Rijn;Gemeente Alphen aan den Rijn;2759874
NL.15.0141;Gemeente Almelo;Gemeente Almelo;2759886
NL.07.0361;Gemeente Alkmaar;Gemeente Alkmaar;2759898
NL.11.0482;Gemeente Alblasserdam;Gemeente Alblasserdam;2759914
NL.02.0059;Gemeente Achtkarspelen;Gemeente Achtkarspelen;2759982
NL.03.0197;Gemeente Aalten;Gemeente Aalten;2760122
NL.07.0358;Gemeente Aalsmeer;Gemeente Aalsmeer;2760133
NL.07.1696;Gemeente Wijdemeren;Gemeente Wijdemeren;3345301
NL.06.1709;Gemeente Moerdijk;Gemeente Moerdijk;6251995
NL.07.1598;Gemeente Koggenland;Gemeente Koggenland;6544220
NL.11.1926;Gemeente Pijnacker-Nootdorp;Gemeente Pijnacker-Nootdorp;6544221
NL.03.1509;Oude IJsselstreek;Oude IJsselstreek;6544222
NL.11.1884;Gemeente Kaag en Braassem;Gemeente Kaag en Braassem;6544223
NL.05.1729;Gulpen-Wittem;Gulpen-Wittem;6544225
NL.05.1640;Gemeente Leudal;Gemeente Leudal;6544226
NL.01.1690;Gemeente De Wolden;Gemeente De Wolden;6544227
NL.03.1586;Oost Gelre;Oost Gelre;6544228
NL.15.1742;Gemeente Rijssen-Holten;Gemeente Rijssen-Holten;6544230
NL.06.1771;Gemeente Geldrop-Mierlo;Gemeente Geldrop-Mierlo;6544232
NL.05.1507;Gemeente Horst aan de Maas;Gemeente Horst aan de Maas;6544233
NL.04.0765;Gemeente Pekela;Gemeente Pekela;6544234
NL.15.1708;Gemeente Steenwijkerland;Gemeente Steenwijkerland;6544235
NL.03.1705;Gemeente Lingewaard;Gemeente Lingewaard;6544236
NL.07.0532;Gemeente Stede Broec;Gemeente Stede Broec;6544238
NL.01.1701;Gemeente Westerveld;Gemeente Westerveld;6544239
NL.11.0613;Gemeente Albrandswaard;Gemeente Albrandswaard;6544242
NL.05.1641;Gemeente Maasgouw;Gemeente Maasgouw;6544244
NL.15.1700;Gemeente Twenterand;Gemeente Twenterand;6544245
NL.15.1773;Gemeente Olst-Wijhe;Gemeente Olst-Wijhe;6544248
NL.06.1723;Gemeente Alphen-Chaam;Gemeente Alphen-Chaam;6544249
NL.09.0736;Gemeente De Ronde Venen;Gemeente De Ronde Venen;6544250
NL.10.1676;Schouwen-Duiveland;Schouwen-Duiveland;6544251
NL.11.1916;Gemeente Leidschendam-Voorburg;Gemeente Leidschendam-Voorburg;6544252
NL.10.1695;Gemeente Noord-Beveland;Gemeente Noord-Beveland;6544253
NL.07.0498;Gemeente Drechterland;Gemeente Drechterland;6544254
NL.05.1883;Gemeente Sittard-Geleen;Gemeente Sittard-Geleen;6544255
NL.03.1955;Gemeente Montferland;Gemeente Montferland;6544256
NL.05.0882;Landgraaf;Landgraaf;6544258
NL.16.0034;Gemeente Almere;Gemeente Almere;6544259
NL.15.1896;Gemeente Zwartewaterland;Gemeente Zwartewaterland;6544260
NL.11.1783;Gemeente Westland;Gemeente Westland;6544261
NL.11.1842;Gemeente Midden-Delfland;Gemeente Midden-Delfland;6544262
NL.07.0880;Gemeente Wormerland;Gemeente Wormerland;6544263
NL.05.1669;Gemeente Roerdalen;Gemeente Roerdalen;6544264
NL.03.0668;Gemeente West Maas en Waal;Gemeente West Maas en Waal;6544265
NL.06.1659;Gemeente Laarbeek;Gemeente Laarbeek;6544266
NL.06.1721;Gemeente Bernheze;Gemeente Bernheze;6544268
NL.03.1740;Gemeente Neder-Betuwe;Gemeente Neder-Betuwe;6544269
NL.06.1655;Gemeente Halderberge;Gemeente Halderberge;6544271
NL.03.1734;Gemeente Overbetuwe;Gemeente Overbetuwe;6544276
NL.06.1658;Gemeente Heeze-Leende;Gemeente Heeze-Leende;6544277
NL.06.1652;Gemeente Gemert-Bakel;Gemeente Gemert-Bakel;6544279
NL.06.1667;Gemeente Reusel-De Mierden;Gemeente Reusel-De Mierden;6544280
NL.01.1730;Gemeente Tynaarlo;Gemeente Tynaarlo;6544282
NL.15.1774;Gemeente Dinkelland;Gemeente Dinkelland;6544285
NL.03.1859;Berkelland;Berkelland;6544286
NL.01.1699;Gemeente Noordenveld;Gemeente Noordenveld;6544287
NL.06.1706;Gemeente Cranendonck;Gemeente Cranendonck;6544288
NL.15.1735;Gemeente Hof van Twente;Gemeente Hof van Twente;6544289
NL.03.1876;Gemeente Bronckhorst;Gemeente Bronckhorst;6544290
NL.11.1621;Gemeente Lansingerland;Gemeente Lansingerland;6544291
NL.11.1525;Gemeente Teylingen;Gemeente Teylingen;6544293
NL.01.1680;Gemeente Aa en Hunze;Gemeente Aa en Hunze;6544296
NL.01.1731;Gemeente Midden-Drenthe;Gemeente Midden-Drenthe;6544297
NL.05.0994;Valkenburg aan de Geul;Valkenburg aan de Geul;6544299
NL.02.0737;Gemeente Tytsjerksteradiel;Gemeente Tytsjerksteradiel;6544304
NL.04.1895;Gemeente Oldambt;Gemeente  Oldambt;7535498
NL.11.1892;Gemeente Zuidplas;Gemeente Zuidplas;7535501
NL.05.1894;Gemeente Peel en Maas;Gemeente Peel en Maas;7535502
NL.05.1903;Eijsden-Margraten;Eijsden-Margraten;8260046
NL.09.1904;Stichtse Vecht;Stichtse Vecht;8260047
NL.02.1900;Sûdwest Fryslân;Sudwest Fryslan;8260049
NL.11.1901;Bodegraven-Reeuwijk;Bodegraven-Reeuwijk;8260050
NL.07.1911;Gemeente Hollands Kroon;Gemeente Hollands Kroon;8426240
NL.11.1924;Gemeente Goeree-Overflakkee;Gemeente Goeree-Overflakkee;8549513
NL.02.1940;De Fryske Marren;De Fryske Marren;10287303
NL.11.1931;Krimpenerwaard;Krimpenerwaard;10287316
NL.11.1930;Nissewaard;Nissewaard;10287324
NL.07.1942;Gooise Meren;Gooise Meren;11189015
NL.06.1948;Meierijstad;Meierijstad;11669500
NL.02.1949;Waadhoeke;Waadhoeke;12022123
NL.04.1950;Westerwolde;Westerwolde;12022124
NL.04.1952;Midden-Groningen;Midden-Groningen;12022125
NL.04.1966;Het Hogeland;Het Hogeland;12022126
NL.03.1960;West Betuwe;West Betuwe;12022127
NL.06.1959;Altena;Altena;12022128
NL.05.1954;Beekdaelen;Beekdaelen;12022129
NL.11.1978;Molenlanden;Molenlanden;12022130
NL.02.1970;Noardeast-Fryslân;Noardeast-Fryslan;12022131
NL.04.1979;Eemsdelta;Eemsdelta;12253550
NL.06.1982;Land van Cuijk;Land van Cuijk;12494993
NL.06.1991;Maashorst;Maashorst;12494996
NL.07.1980;Dijk en Waard;Dijk en Waard;12494997